id,name,a_min,a_max,b_min,b_max,c_min
__export__.fal_stroke_max_VBL-025-L1-M01,VBL-025-L1-M01,15,49,50,100,101
__export__.fal_stroke_max_VBL-025-L1-M02,VBL-025-L1-M02,15,49,50,100,101
__export__.fal_stroke_max_VBL-025-L1-M03,VBL-025-L1-M03,15,49,50,100,101
__export__.fal_stroke_max_VBL-025-L1-M04,VBL-025-L1-M04,5,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M05,VBL-025-L1-M05,5,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M06,VBL-025-L1-M06,10,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M07,VBL-025-L1-M07,10,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M08,VBL-025-L1-M08,5,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M09,VBL-025-L1-M09,5,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M10,VBL-025-L1-M10,10,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M11,VBL-025-L1-M11,10,100,NO,NO,101
__export__.fal_stroke_max_VBL-025-L1-M12,VBL-025-L1-M12,15,49,50,100,101
__export__.fal_stroke_max_VBL-025-L2-M01,VBL-025-L2-M01,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L2-M02,VBL-025-L2-M02,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L2-M06,VBL-025-L2-M06,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L2-M07,VBL-025-L2-M07,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L2-M10,VBL-025-L2-M10,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L2-M11,VBL-025-L2-M11,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L3-M01,VBL-025-L3-M01,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L3-M02,VBL-025-L3-M02,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L3-M06,VBL-025-L3-M06,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L3-M07,VBL-025-L3-M07,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L3-M10,VBL-025-L3-M10,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L3-M11,VBL-025-L3-M11,NO,NO,50,80,81
__export__.fal_stroke_max_VBL-025-L4-M01,VBL-025-L4-M01,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L4-M02,VBL-025-L4-M02,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L4-M06,VBL-025-L4-M06,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L4-M07,VBL-025-L4-M07,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L4-M10,VBL-025-L4-M10,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-025-L4-M11,VBL-025-L4-M11,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L1-M01,VBL-032-L1-M01,15,49,50,150,151
__export__.fal_stroke_max_VBL-032-L1-M02,VBL-032-L1-M02,15,49,50,150,151
__export__.fal_stroke_max_VBL-032-L1-M03,VBL-032-L1-M03,15,49,50,150,151
__export__.fal_stroke_max_VBL-032-L1-M04,VBL-032-L1-M04,5,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M05,VBL-032-L1-M05,5,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M06,VBL-032-L1-M06,10,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M07,VBL-032-L1-M07,10,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M08,VBL-032-L1-M08,5,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M09,VBL-032-L1-M09,5,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M10,VBL-032-L1-M10,10,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M11,VBL-032-L1-M11,10,150,NO,NO,151
__export__.fal_stroke_max_VBL-032-L1-M12,VBL-032-L1-M12,15,49,50,150,151
__export__.fal_stroke_max_VBL-032-L2-M01,VBL-032-L2-M01,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L2-M02,VBL-032-L2-M02,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L2-M06,VBL-032-L2-M06,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L2-M07,VBL-032-L2-M07,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L2-M10,VBL-032-L2-M10,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L2-M11,VBL-032-L2-M11,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L3-M01,VBL-032-L3-M01,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L3-M02,VBL-032-L3-M02,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L3-M06,VBL-032-L3-M06,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L3-M07,VBL-032-L3-M07,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L3-M10,VBL-032-L3-M10,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L3-M11,VBL-032-L3-M11,NO,NO,50,125,126
__export__.fal_stroke_max_VBL-032-L4-M01,VBL-032-L4-M01,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L4-M02,VBL-032-L4-M02,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L4-M06,VBL-032-L4-M06,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L4-M07,VBL-032-L4-M07,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L4-M10,VBL-032-L4-M10,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-032-L4-M11,VBL-032-L4-M11,NO,NO,50,NO SUP,NO
__export__.fal_stroke_max_VBL-040-L1-M01,VBL-040-L1-M01,15,49,50,165,166
__export__.fal_stroke_max_VBL-040-L1-M02,VBL-040-L1-M02,15,49,50,165,166
__export__.fal_stroke_max_VBL-040-L1-M03,VBL-040-L1-M03,15,49,50,165,166
__export__.fal_stroke_max_VBL-040-L1-M04,VBL-040-L1-M04,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M05,VBL-040-L1-M05,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M06,VBL-040-L1-M06,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M07,VBL-040-L1-M07,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M08,VBL-040-L1-M08,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M09,VBL-040-L1-M09,10,165,NO,NO,166
__export__.fal_stroke_max_VBL-040-L1-M10,VBL-040-L1-M10,10,165,NO,NO,166
